v(m/s),w(m),d(m),tr(s),kappa,theta(rad),Risk_R
3.025,0.651,1.728,0.57,0.561,0.226235,0.4467
5.515,0.734,1.743,0.589,0.385,0.103395,0.5837
9.095,0.744,1.086,1.279,0.903,0.443234,0.9532
9.351,0.626,1.555,0.853,0.889,0.381437,0.6687
8.212,0.747,0.977,0.954,0.989,0.490815,1.0
2.345,0.599,0.932,1.171,0.872,0.111794,0.6844
6.047,0.802,1.533,0.951,0.713,0.266177,0.652
4.38,0.72,1.489,1.348,0.745,0.398522,0.6363
3.281,0.688,0.809,0.596,0.809,0.51931,1.0
2.793,0.67,1.6,0.545,0.689,0.383835,0.4959
6.928,0.606,1.155,1.241,0.688,0.002738,0.6763
8.088,0.561,1.546,0.543,0.971,0.192653,0.5515
4.615,0.595,1.106,1.352,0.997,0.192846,0.6499
5.589,0.767,1.686,1.012,0.574,0.216048,0.579
7.565,0.551,1.42,0.727,0.856,0.04869,0.5459
6.706,0.694,1.442,0.378,0.706,0.293993,0.6701
6.485,0.731,1.476,1.266,0.489,0.431995,0.7676
5.986,0.573,0.859,0.701,0.849,0.370541,0.9294
8.309,0.705,1.24,0.477,0.53,0.227252,0.8016
2.709,0.616,1.398,1.183,0.999,0.488577,0.5688
7.141,0.676,1.436,1.243,0.383,0.214626,0.7332
8.718,0.665,1.372,1.005,0.429,0.189666,0.7707
4.676,0.558,0.824,1.298,0.491,0.271265,0.914
4.39,0.832,1.059,0.816,0.911,0.440835,1.0
3.489,0.791,1.258,0.88,0.393,0.042203,0.7387
7.824,0.699,1.237,1.175,0.836,0.083204,0.7049
6.882,0.591,1.551,1.088,0.97,0.036106,0.4835
2.456,0.635,1.062,0.596,0.934,0.130662,0.6001
4.176,0.778,1.25,1.232,0.346,0.255292,0.8314
2.269,0.569,1.706,0.467,0.673,0.215249,0.3239
4.779,0.82,0.822,1.097,0.974,0.293303,1.0
9.495,0.566,1.219,0.612,0.812,0.513806,0.8347
4.052,0.746,0.998,0.978,0.625,0.508941,1.0
6.868,0.655,0.914,0.481,0.458,0.131406,0.8972
8.805,0.718,1.323,0.438,0.902,0.378465,0.7909
2.541,0.762,1.344,0.398,0.621,0.253786,0.5995
3.326,0.834,1.65,1.103,0.624,0.2156,0.5376
7.208,0.714,0.862,0.915,0.864,0.240457,0.975
2.416,0.786,1.001,0.61,0.415,0.1729,0.9059
8.054,0.706,1.005,1.353,0.916,0.455834,0.9763
3.91,0.685,1.785,1.226,0.319,0.034141,0.545
5.711,0.823,1.339,0.897,0.374,0.343889,0.8516
8.577,0.664,1.576,1.457,0.443,0.274015,0.7424
4.297,0.788,1.378,1.061,0.859,0.20733,0.6203
9.321,0.71,0.958,1.135,0.855,0.165856,0.9041
8.857,0.822,1.077,1.48,0.398,0.105775,0.9338
3.474,0.818,1.454,0.483,0.608,0.322169,0.6676
2.668,0.815,1.604,0.906,0.977,0.218739,0.4546
9.873,0.75,1.435,0.499,0.917,0.223833,0.7181
3.298,0.554,1.36,0.933,0.804,0.466138,0.5972
2.635,0.769,0.987,1.33,0.873,0.283159,0.9132
7.682,0.644,1.271,1.286,0.621,0.187343,0.7227
5.954,0.798,1.135,0.509,0.798,0.432481,0.9418
2.805,0.622,0.942,0.718,0.615,0.392085,0.9044
7.209,0.736,1.152,1.31,0.63,0.512658,0.9471
7.073,0.588,1.476,0.69,0.78,0.036464,0.5333
3.399,0.807,1.027,1.304,0.495,0.336612,0.9694
7.553,0.704,1.105,0.555,0.323,0.159146,0.8731
7.225,0.831,1.671,1.219,0.852,0.348185,0.6492
4.082,0.822,1.471,0.973,0.378,0.234078,0.7309
5.683,0.809,1.347,0.756,0.984,0.057973,0.6206
5.38,0.563,1.54,1.402,0.496,0.449427,0.655
4.338,0.823,1.554,1.266,0.313,0.504126,0.8331
7.813,0.641,1.629,0.638,0.911,0.058947,0.5126
7.629,0.712,0.897,0.59,0.309,0.245446,0.9744
4.41,0.73,1.097,0.66,0.82,0.025208,0.7009
9.223,0.806,1.468,1.012,0.925,0.097039,0.6741
2.632,0.622,1.595,0.342,0.708,0.52121,0.4594
8.846,0.706,0.864,1.298,0.719,0.060179,0.9267
2.751,0.823,1.469,1.295,0.915,0.299379,0.5626
6.14,0.679,1.117,0.822,0.842,0.315166,0.8113
9.14,0.683,1.407,1.058,0.714,0.367898,0.7566
3.899,0.704,0.904,0.761,0.641,0.341504,0.9782
9.604,0.73,1.544,0.908,0.744,0.03714,0.6275
4.035,0.659,1.272,0.355,0.398,0.14494,0.6971
9.772,0.649,1.282,0.535,0.728,0.146965,0.7319
3.656,0.705,0.806,0.309,0.453,0.019227,0.937
2.864,0.652,1.603,0.986,0.659,0.15367,0.4517
9.454,0.669,0.887,1.04,0.38,0.180758,0.9604
6.059,0.812,1.294,1.143,0.995,0.068848,0.6678
